[  460]  Di 2016-02-09 12:45:39.750   lat: 52.71829°  lon: 2.14618°  alt: 7893.61m  vH: 24.0m/s  D: 37.7°  vV: -15.1m/s    P=336.12hPa  T=-48.98°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  461]  Di 2016-02-09 12:45:40.250   lat: 52.71838°  lon: 2.14629°  alt: 7886.03m  vH: 24.0m/s  D: 37.9°  vV: -15.2m/s    P=336.48hPa  T=-49.00°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  462]  Di 2016-02-09 12:45:40.750   lat: 52.71846°  lon: 2.14640°  alt: 7878.43m  vH: 24.2m/s  D: 37.9°  vV: -15.3m/s    P=336.84hPa  T=-49.04°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  463]  Di 2016-02-09 12:45:41.250   lat: 52.71855°  lon: 2.14651°  alt: 7870.79m  vH: 24.6m/s  D: 37.6°  vV: -15.2m/s    P=337.29hPa  T=-49.08°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  464]  Di 2016-02-09 12:45:41.750   lat: 52.71864°  lon: 2.14662°  alt: 7863.17m  vH: 24.9m/s  D: 37.2°  vV: -15.0m/s    P=337.68hPa  T=-49.11°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  465]  Di 2016-02-09 12:45:42.250   lat: 52.71873°  lon: 2.14673°  alt: 7855.64m  vH: 24.9m/s  D: 36.2°  vV: -15.2m/s    P=338.05hPa  T=-49.14°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  466]  Di 2016-02-09 12:45:42.750   lat: 52.71882°  lon: 2.14684°  alt: 7848.13m  vH: 24.9m/s  D: 36.0°  vV: -15.2m/s    P=338.46hPa  T=-49.16°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  467]  Di 2016-02-09 12:45:43.250   lat: 52.71891°  lon: 2.14695°  alt: 7840.64m  vH: 25.0m/s  D: 35.7°  vV: -15.1m/s    P=338.79hPa  T=-49.23°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  468]  Di 2016-02-09 12:45:43.750   lat: 52.71900°  lon: 2.14705°  alt: 7833.30m  vH: 25.4m/s  D: 35.1°  vV: -14.9m/s    P=339.21hPa  T=-49.30°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  469]  Di 2016-02-09 12:45:44.250   lat: 52.71910°  lon: 2.14716°  alt: 7825.92m  vH: 24.9m/s  D: 34.1°  vV: -14.9m/s    P=339.66hPa  T=-49.36°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  470]  Di 2016-02-09 12:45:44.750   lat: 52.71919°  lon: 2.14726°  alt: 7818.48m  vH: 24.9m/s  D: 33.3°  vV: -15.0m/s    P=339.99hPa  T=-49.38°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  471]  Di 2016-02-09 12:45:45.250   lat: 52.71928°  lon: 2.14736°  alt: 7811.03m  vH: 24.9m/s  D: 32.4°  vV: -14.9m/s    P=340.34hPa  T=-49.44°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  472]  Di 2016-02-09 12:45:45.750   lat: 52.71938°  lon: 2.14746°  alt: 7803.58m  vH: 25.0m/s  D: 32.2°  vV: -15.0m/s    P=340.78hPa  T=-49.48°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  473]  Di 2016-02-09 12:45:46.250   lat: 52.71947°  lon: 2.14756°  alt: 7796.06m  vH: 25.0m/s  D: 32.4°  vV: -15.1m/s    P=341.18hPa  T=-49.54°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  474]  Di 2016-02-09 12:45:46.750   lat: 52.71957°  lon: 2.14765°  alt: 7788.59m  vH: 25.1m/s  D: 31.4°  vV: -15.1m/s    P=341.58hPa  T=-49.59°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  475]  Di 2016-02-09 12:45:47.250   lat: 52.71967°  lon: 2.14775°  alt: 7781.15m  vH: 25.1m/s  D: 31.2°  vV: -15.1m/s    P=341.94hPa  T=-49.64°C  H1=1.07%  H2=1.00%    (132055654)  Check: 00000
[  476]  Di 2016-02-09 12:45:47.750   lat: 52.71976°  lon: 2.14785°  alt: 7773.58m  vH: 25.2m/s  D: 31.1°  vV: -15.1m/s    P=342.29hPa  T=-49.70°C  H1=1.32%  H2=1.00%    (132055654)  Check: 00000
[  478]  Di 2016-02-09 12:45:48.750   lat: 52.71995°  lon: 2.14804°  alt: 7758.52m  vH: 24.9m/s  D: 31.8°  vV: -15.0m/s    P=343.12hPa  T=-49.79°C  H1=1.80%  H2=1.25%    (132055654)  Check: 00000
[  479]  Di 2016-02-09 12:45:49.250   lat: 52.72005°  lon: 2.14814°  alt: 7751.01m  vH: 25.2m/s  D: 32.1°  vV: -15.0m/s    P=343.56hPa  T=-49.83°C  H1=2.07%  H2=1.49%    (132055654)  Check: 00000
[  480]  Di 2016-02-09 12:45:49.750   lat: 52.72014°  lon: 2.14824°  alt: 7743.48m  vH: 25.3m/s  D: 31.8°  vV: -15.1m/s    P=343.94hPa  T=-49.87°C  H1=2.35%  H2=1.73%    (132055654)  Check: 00000
[  481]  Di 2016-02-09 12:45:50.250   lat: 52.72024°  lon: 2.14833°  alt: 7735.93m  vH: 25.2m/s  D: 31.3°  vV: -14.9m/s    P=344.38hPa  T=-49.90°C  H1=2.64%  H2=2.01%    (132055654)  Check: 00000
